name,id,description,nutrition,ingredients,time,diet,type,amount
kodo(millet) ko roti,11,"Millet roti is a type of flatbread made from millet flour that is commonly consumed in India. The dough for the roti is made by mixing millet flour with water and then kneading it into a smooth dough. The dough is then divided into small portions, which are rolled out into thin circles and cooked on a hot griddle or tawa. Millet roti is a nutritious and gluten-free alternative to wheat-based roti and is often served with a variety of Indian curries or chutneys. It is a staple food in many regions of India, particularly in the southern states where millet is a common crop. Millet roti is easy to make and is a healthy and tasty addition to any meal.","119,19,3.8,3.3","milletflour,water","breakfast,lunch,dinner",vegetarian,staple,1 unit
dhedo,12,"Dhedo is a traditional Nepalese and Bhutanese food made from buckwheat flour or maize flour. The flour is mixed with water to form a thick and dough-like consistency, which is then cooked over a low flame until it becomes a sticky and smooth mixture. Dhedo is often served with a variety of side dishes such as meat or vegetable curries, pickles, or chutneys. It is a staple food in many rural areas of Nepal and Bhutan and is often eaten with the fingers, by rolling small portions of the dough into balls and using it to scoop up the side dishes. Dhedo is a simple and hearty dish that provides a good source of carbohydrates and is an important part of the local cuisine.","455,95,1.2,13","buckwheatflour,maizeflour,water","breakfast,lunch,dinner",vegetarian,staple,1 cup
roti,13,"Roti is a type of flatbread that is commonly consumed in many parts of South Asia, particularly in India, Pakistan, Bangladesh, and Sri Lanka. It is made by mixing whole wheat flour with water to form a dough, which is then divided into small portions and rolled out into thin circles. The rotis are cooked on a hot griddle or tawa until they puff up and develop brown spots on both sides. Rotis are a staple food in many households in South Asia and are often served as an accompaniment to curries, dal, or vegetables. They are typically eaten by tearing off a piece of the bread and using it to scoop up the other dishes on the plate. Rotis are a versatile and nutritious food, as they are made with whole wheat flour and contain fiber, protein, and other important nutrients.","120,18.5,3.7,3.1","wholewheatflour,water,ghee","breakfast,lunch,dinner",vegetarian,staple,1 unit
naan,14,"Naan is a type of flatbread that is a popular staple food in South Asian and Middle Eastern cuisines. It is made from white flour, water, and yeast, and is typically cooked in a clay oven or tandoor. Naan is characterized by its soft and fluffy texture, and it often has a slightly charred or blistered exterior from being cooked in the tandoor. Naan can be served plain or flavored with a variety of ingredients such as garlic, butter, or herbs. It is often used to scoop up curries or other dishes with sauce and is an essential part of many South Asian and Middle Eastern meals. Naan is a high-carbohydrate food that provides energy, but it is not particularly high in other nutrients and should be consumed in moderation as part of a balanced diet.","190,30,5,5","flour,water,yeast,garlic,coriander,ghee","breakfast,lunch,dinner",vegetarian,staple,1 unit
chiura(beaten rice),15,"Chiura, also known as beaten rice or flattened rice, is a popular snack and breakfast food in Nepal and other parts of South Asia. It is made by parboiling rice, then flattening and drying it to create thin, flattened grains. The flattened rice grains are then lightly fried in oil and mixed with various ingredients such as roasted peanuts, onions, and spices to create a savory snack. Chiura is also commonly used to make a breakfast dish known as chiura with curd, which consists of mixing the flattened rice with yogurt and sugar. Chiura is a gluten-free and low-fat food that is rich in carbohydrates and provides a good source of energy.","100,20,1,3","rice,onion,spices,oil","breakfast,lunch,dinner",vegetarian,staple,50 gms
sel roti,16,"Sel roti is a traditional Nepalese sweet that is similar to a donut or a funnel cake. It is made by mixing rice flour, sugar, and water to create a batter, which is then poured through a funnel or a bottle with a small hole to create circular shapes. The batter is fried in oil until golden brown, resulting in a crispy exterior and a soft and sweet interior. Sel roti is often flavored with cardamom or other spices and is traditionally served during festivals and celebrations in Nepal, particularly during the Tihar festival. It is a popular street food in Nepal and is often eaten as a snack with tea or as a dessert after a meal. Sel roti is a high-carbohydrate food that provides energy, but it is not particularly high in other nutrients and should be consumed in moderation as part of a balanced diet.","123,11.7,8.4,0.6","riceflour,sugar,water,oil","breakfast,lunch",vegetarian,staple,1 piece
khichdi,17,"Khichdi is a popular Indian dish that is made from rice, lentils, and a variety of spices. The dish is typically prepared by cooking the rice and lentils together in a pot, along with vegetables such as onions, tomatoes, and green chili peppers, and flavored with a mix of spices such as cumin, turmeric, and coriander. Khichdi is known for its creamy and porridge-like texture and is often served with a side of yogurt or pickles. It is a simple and nutritious dish that provides a good source of carbohydrates, proteins, and fiber, and is often eaten as a comfort food or as a light meal. Khichdi is a popular dish during festivals and religious events in India, and variations of it can be found in different regions of the country.","175,34,1.6,6","rice,lentil,water,garlic,tomatoes,tumeric,cumin,coriander,onions","breakfast,lunch,dinner",vegetarian,staple,1 cup
noodle soup,18,"Noodle soup is a dish that is found in many cultures and cuisines around the world, and typically consists of noodles and a flavorful broth. The type of noodles and broth used can vary widely depending on the region, but popular variations include ramen, pho, and udon. The broth is often made by simmering meat or vegetables with herbs and spices for hours to create a rich and flavorful base. The noodles are then cooked separately and added to the broth along with various toppings such as meat, vegetables, and herbs. Noodle soup is a comforting and satisfying dish that is often enjoyed as a warming meal during colder months, and is popular in many Asian countries as a street food or quick meal option.","190,26,7,4","noodles,water,vegetables,spices,tomatoes","lunch,dinner",vegetarian,alone,100 gm
veg burger,19,"A veg burger is a sandwich that is typically made with a vegetarian patty or a vegetable-based protein such as tofu or tempeh. The patty is often made with a mixture of vegetables, grains, and legumes, and can be flavored with a variety of herbs and spices. The burger is then assembled by placing the patty between two buns, along with toppings such as lettuce, tomato, onion, cheese, and sauces such as ketchup or mayonnaise. Veg burgers are a popular alternative to traditional meat burgers and are often enjoyed by vegetarians and vegans, as well as by those who are looking to reduce their meat intake. They are a good source of plant-based protein, fiber, and nutrients and can be customized to suit individual tastes and preferences.","187,11,6.8,18","tofu,bun,grain,legumes,onion,tomatoes,cheese,mayonnaise",lunch,vegetarian,alone,100 gm
chicken burger,20,"A chicken burger is a sandwich that is typically made with a chicken patty as the main protein. The patty is usually made from ground or minced chicken meat, which is mixed with various seasonings and spices to enhance its flavor. The chicken patty is then cooked and placed between two buns, along with toppings such as lettuce, tomato, onion, cheese, and various sauces such as mayonnaise or barbecue sauce. Chicken burgers are a popular fast food item and are often enjoyed as a quick and satisfying meal on-the-go. They are a good source of protein and can be customized to suit individual tastes by adding or removing toppings according to preference. However, they can be high in fat and calories, depending on the preparation method and toppings used, and should be consumed in moderation as part of a balanced diet.","260,9,14,22","bun,chicken,spices,lettuce,tomatoes,onion,cheese,mayonnaise,sauce",lunch,non-vegetarian,alone,100 gm
cheese pizza,21,"Cheese pizza is a classic and popular type of pizza that is enjoyed by many people around the world. It typically consists of a base of tomato sauce and cheese, which is then baked on top of a dough crust. The type of cheese used can vary, but mozzarella is a common choice due to its mild and stretchy texture. The pizza can be further customized with additional toppings such as vegetables, meats, or spices, but the cheese and tomato sauce are the defining features of this simple yet delicious dish. Cheese pizza is a good source of protein, carbohydrates, and calcium, but it can also be high in calories and fat depending on the amount of cheese used.","198,20,7,12","flour,cheese,tomato,herbs,spices,mozzarella,vegetables",lunch,vegetarian,alone,100 gm
chicken pizaa,22,"Chicken pizza is a popular pizza variety that is made with a base of tomato sauce, cheese, and chicken as the main protein. The chicken can be cooked in a variety of ways, such as grilled, roasted, or sautéed, and is then added on top of the pizza along with other toppings such as vegetables, herbs, or spices. Some popular variations of chicken pizza include barbecue chicken pizza, chicken Alfredo pizza, and chicken tikka pizza. Chicken pizza is a good source of protein and can be a satisfying meal option for those who enjoy pizza and are looking for a protein-rich topping. However, it can also be high in calories and fat depending on the toppings used and should be consumed in moderation as part of a balanced diet.","230,33,5,11","flour,cheese,tomato,mozzarella,vegetables,chicken,spices,herbs",lunch,non-vegetarian,alone,1 slice
chicken curry,23,"Chicken curry is a popular dish in many cuisines around the world, particularly in South Asia, Southeast Asia, and the Caribbean. It typically consists of chicken that is simmered in a flavorful sauce made from a blend of spices and aromatics such as garlic, ginger, onion, and chili peppers. The exact ingredients and preparation methods can vary widely depending on the region and recipe, but common ingredients in chicken curry include tomatoes, coconut milk, and a variety of spices such as cumin, coriander, turmeric, and garam masala. Chicken curry can be served with a variety of accompaniments such as rice, naan, or roti, and can be customized to suit individual preferences by adjusting the level of spiciness or the type and amount of spices used.","306,49.5,4.6,15.5","garlic,ginger,onion,chilipeppers,chicken,cumin,coriander,turmeric,garammasala","breakfast,lunch,dinner",non-vegetarian,curry,1 cup
mutton curry,24,"Mutton curry is a popular dish in many cuisines around the world, particularly in South Asia and the Middle East. It typically consists of mutton, which is a type of lamb meat that is more mature and has a stronger flavor than lamb, that is simmered in a flavorful sauce made from a blend of spices and aromatics such as garlic, ginger, onion, and chili peppers. The exact ingredients and preparation methods can vary widely depending on the region and recipe, but common ingredients in mutton curry include tomatoes, yogurt, and a variety of spices such as cumin, coriander, turmeric, and garam masala. Mutton curry can be served with a variety of accompaniments such as rice, naan, or roti, and can be customized to suit individual preferences by adjusting the level of spiciness or the type and amount of spices used.","271,20,17,13","garlic,ginger,onion,chilipeppers,mutton,cumin,coriander,turmeric,garammasala","breakfast,lunch,dinner",non-vegetarian,curry,1 cup
bara,25,"Bara is a popular snack or street food in Nepal, particularly in the Kathmandu Valley. It is a type of fritter or pancake made from ground lentils or black gram (urad dal) that is mixed with various spices and herbs, such as cumin, coriander, garlic, and ginger, and then fried until crispy and golden brown. Bara can be served on its own as a snack or appetizer, or it can be used as a base for other dishes such as chaat or chowmein. It is often enjoyed with a side of spicy tomato chutney or yogurt sauce, and is a flavorful and satisfying vegetarian option that is high in protein and fiber.","499,45.6,24.3,13.8","lentils,blackgram,onion,garlic,coriander,cumin","breakfast,lunch",vegetarian,alone,150 gm
gundruk,26,"Gundruk is a popular fermented vegetable dish in Nepal, particularly in the hilly regions. It is made by fermenting leafy vegetables such as mustard greens, radish leaves, or spinach in a mixture of water and salt, and then sun-drying the mixture until it becomes crispy and tangy. The resulting product is then used in a variety of dishes, such as soups, stews, or curries, and is known for its unique flavor and nutritional benefits. Gundruk is rich in vitamins and minerals, particularly vitamin C and iron, and is a good source of probiotics due to its fermentation process. It is a staple food in many Nepali households and is often served with rice or roti.","19,2.6,0.2,1.6","mustardgreens,spinach,radishleaves","breakfast,lunch,dinner",vegetarian,curry,1 serving
thukpa,27,"Thukpa is a popular noodle soup dish in the Himalayan region, particularly in Nepal, Tibet, and Bhutan. It typically consists of wheat or rice noodles that are cooked in a savory broth made with various vegetables, such as onions, garlic, and carrots, and protein sources such as chicken, beef, or yak meat. The broth is flavored with a blend of spices such as cumin, coriander, and chili peppers, and can be customized to suit individual preferences by adjusting the level of spiciness or the type and amount of spices used. Thukpa is a hearty and filling dish that is often enjoyed during cold weather and is a staple food in many Himalayan households. It can be served with a variety of accompaniments such as fried garlic, cilantro, and lime juice.","200,36,1,13","wheatnoodles,ricenoodles,onion,garlic,carrot,chicken,beef,cumin,coiander,chilli,yakmeat","breakfast,lunch",vegetarian,alone,172 gm
choila,28,"Choila is a traditional dish from the Newari community in Nepal, typically made with grilled or smoked meat such as chicken or buffalo. The meat is marinated in a blend of spices and herbs such as garlic, ginger, cumin, and chili peppers, and then grilled or smoked to give it a smoky and charred flavor. The meat is then chopped into small pieces and mixed with a variety of ingredients such as onions, tomatoes, and cilantro, as well as mustard oil and roasted spices. Choila is a flavorful and spicy dish that is often served as an appetizer or snack, and is traditionally eaten with beaten rice (chiura) and a side of pickles. It is a popular dish during festivals and special occasions, and is known for its bold and distinctive flavors.","392,17,12,54","chicken,buffalomeat,garlic,ginger,cumin,chilipowder,onions,tomatoes,oil,cilantro",lunch,non-vegetarian,alone,1 serving
soyabeans curry,29,"Soybean curry is a vegetarian dish made from soybeans cooked in a spicy and flavorful gravy. The soybeans are typically boiled or pressure cooked until they are tender and then added to a mixture of sautéed onions, garlic, ginger, and spices such as cumin, coriander, and turmeric. The dish can be made with a variety of vegetables such as tomatoes, potatoes, or bell peppers, and can be customized to suit individual preferences by adjusting the level of spiciness or the type and amount of spices used. Soybean curry is a nutritious and protein-rich dish that is often served with rice or roti and is a popular option for vegetarians and vegans.","116,11,8,14","soyabeans,onion,garlic,ginger,cumin,coriander,turmeric,pepper,potato,tomatoes","breakfast,lunch,dinner",vegetarian,curry,1 serving
cauliflower curry,30,"Cauliflower curry is a vegetarian dish made from cauliflower florets cooked in a spicy and aromatic gravy. The cauliflower florets are typically sautéed until they are lightly browned and then added to a mixture of sautéed onions, garlic, ginger, and spices such as cumin, coriander, and turmeric. The dish can be made with a variety of vegetables such as peas, carrots, or potatoes, and can be customized to suit individual preferences by adjusting the level of spiciness or the type and amount of spices used. Cauliflower curry is a healthy and nutritious dish that is often served with rice or roti and is a popular option for vegetarians and vegans.","111,15,5.5,2.5","cauliflower,onion,garlic,ginger,cumin,coriander,turmeric,peas,carrots,potato","breakfast,lunch,dinner",vegetarian,curry,1 serving
kheer,31,"Kheer is a traditional dessert dish from the Indian subcontinent, made from rice or vermicelli cooked in milk with sugar and flavored with cardamom, saffron, and nuts such as almonds or pistachios. The dish is typically slow-cooked until the rice or vermicelli is soft and the milk has thickened into a creamy consistency. Kheer is a rich and indulgent dessert that is often served during festivals and special occasions, and can be enjoyed hot or cold. It is a popular dish in Indian, Pakistani, and Bangladeshi cuisine, and can be customized to suit individual preferences by adjusting the level of sweetness or the type and amount of nuts and flavorings used.","282,47.6,6.8,8","rice,milk,sugar,almonds,cardamom,pistachios","breakfast,lunch",vegetarian,alone,1 cup
kwati(bean soup),32,"Mixed bean soup is a nutritious and hearty dish made with a variety of beans such as black beans, kidney beans, and chickpeas, cooked in a flavorful broth with vegetables like carrots, celery, onions, and tomatoes. The dish can be customized to suit individual preferences by adjusting the level of spiciness or the type and amount of spices used, and can be made vegan or vegetarian by using vegetable broth instead of meat-based broth. Mixed bean soup is a rich source of protein, fiber, and essential nutrients, and is often enjoyed as a healthy and filling meal on its own or served with bread or crackers. It is a popular option for those looking for a comforting and wholesome meal, especially during cold weather.","82,8.7,3.4,2.5","blackbeans,kidneybeans,chickpeas,carrots,celery,onions,tomatoes,spices","breakfast,lunch,dinner",vegetarian,curry,1 cup
saag,33,"Saag is a traditional dish from the Indian subcontinent, made from leafy green vegetables such as spinach, mustard greens, or fenugreek leaves, cooked with a variety of spices and aromatics such as garlic, ginger, and cumin. The greens are typically finely chopped and cooked until they are tender and flavorful, and can be served as a side dish or as a main dish with rice or flatbread. Saag is a popular vegetarian and vegan dish that is rich in nutrients such as iron, calcium, and vitamins, and is often enjoyed for its delicious and hearty flavors. It is a staple dish in North Indian and Punjabi cuisine and is widely enjoyed across the Indian subcontinent and in many other parts of the world.","194,10,5,5","spinach,mustardgreens,fenugreekleaves,garlic,ginger,cumin","breakfast,lunch,dinner",vegetarian,curry,1 cup
aloo tama,34,"Aloo Tama is a traditional Nepali dish made with potatoes (aloo) and bamboo shoots (tama) cooked in a flavorful and spicy broth made with a variety of spices and herbs such as cumin, coriander, turmeric, and chili peppers. The dish is typically made by sautéing the potatoes and bamboo shoots with onions and garlic, and then simmering them in the broth until they are tender and infused with the flavors of the spices. Aloo Tama is a popular Nepali comfort food that is often eaten with rice or flatbread, and is known for its bold and distinctive flavors, as well as its high nutritional value. The dish is also often served during festivals and special occasions as a symbol of Nepali hospitality and culture.","271,26,17.3,5.4","potato,bambooshoots,cumin,coriander,turmeric,chillipeppers,onion,garlic","breakfast,lunch,dinner",vegetarian,curry,3 cups
brinjal curry,35,"Brinjal curry, also known as eggplant curry, is a flavorful dish made with tender eggplant (brinjal) cooked in a rich and aromatic tomato-based sauce. The eggplant is typically diced and cooked until it is soft and tender, and is then simmered in a mixture of tomatoes, onions, garlic, and spices such as cumin, coriander, and turmeric. The resulting curry is a hearty and satisfying dish that is often enjoyed as a main course with rice or flatbread. Brinjal curry is a popular vegetarian and vegan dish that is rich in nutrients such as fiber, vitamins, and antioxidants, and is known for its delicious and complex flavors. It is a staple dish in many cuisines around the world, including Indian, Middle Eastern, and Mediterranean cuisine.","195,18,2.3,2.8","brinjal,onions,coriander,garlic,cumin,turmeric","breakfast,lunch,dinner",vegetarian,curry,1 cup
paneer curry,36,"Paneer curry is a traditional Indian dish made with paneer, a type of fresh cheese that is similar in texture to tofu. The paneer is typically cut into cubes and simmered in a flavorful and aromatic tomato-based sauce made with a variety of spices and herbs such as cumin, coriander, and garam masala. The resulting curry is a creamy and delicious dish that is often served as a vegetarian or vegan alternative to meat-based curries. Paneer curry is a staple dish in Indian cuisine and is widely enjoyed for its rich and complex flavors, as well as its high protein and calcium content. It is often served with rice or flatbread, and is a popular choice for special occasions and festivals.","108,5.8,7.2,4.8","paneer,tomatoes,cumin,coriander,garammasala","breakfast,lunch,dinner",vegetarian,curry,100 gm
suji ko halwa,37,"Suji ka halwa, also known as semolina pudding, is a popular dessert in South Asian and Middle Eastern cuisines. It is made by roasting semolina or suji in ghee (clarified butter) until it is golden brown, then adding sugar, water or milk, and flavorings such as cardamom and saffron. The mixture is then cooked until it thickens into a pudding-like consistency. Suji ka halwa is often garnished with nuts such as almonds, cashews, or pistachios, and is served hot or warm as a sweet and rich dessert.","306,42.3,13.1,4.2","semolina,ghee,sugar,milk,nuts,cardamom","breakfast,lunch",vegetarian,alone,1 serving
onion pakoda,38,"Onion pakoda, also known as onion fritters, is a popular Indian snack made by deep-frying a mixture of sliced onions, gram flour (besan), rice flour, spices, and water. The sliced onions are coated in the batter and then fried until they turn golden brown and crispy. The resulting pakodas are crunchy on the outside and soft on the inside with a delicious blend of flavors from the spices and onions. They are often served with mint chutney or tamarind chutney as a tea-time snack or as a starter in Indian restaurants. Onion pakodas are loved by many for their simplicity, taste, and versatility.","266,26,14,9","onions,gramflour,riceflour,spices,water",lunch,vegetarian,alone,100 gm
butter chicken,39,"Butter chicken, also known as murgh makhani, is a popular North Indian dish made by marinating pieces of boneless chicken in a mixture of yogurt and spices, then cooking it in a creamy tomato-based sauce. The sauce is made by simmering tomatoes, butter, cream, and a blend of spices, including garam masala, cumin, and coriander, until it becomes thick and velvety. The cooked chicken is then added to the sauce, and the dish is typically served with rice, naan bread, or roti. Butter chicken is loved for its rich, savory flavor and creamy texture, and it is a favorite among many Indian food lovers around the world.","497,40,24,43","chicken,yogurt,spices,tomatoes,butter,cream,cumin,coriander","lunch,dinner",non-vegetarian,alone,300 gm
veg biryani,40,"Vegetable biryani is a popular Indian rice dish made with long-grain basmati rice, mixed vegetables, and a blend of aromatic spices. The dish typically starts with frying onions and spices such as cumin, cardamom, and cinnamon in oil or ghee. Mixed vegetables such as carrots, peas, potatoes, and bell peppers are then added and sautéed. The vegetables are then layered with partially cooked basmati rice, and the layers are infused with saffron, fried onions, and fresh herbs like mint and cilantro. The biryani is then cooked over low heat until the rice is fully cooked, fluffy, and aromatic. It is typically served with raita (a yogurt-based side dish) and/or achar (pickles). Vegetable biryani is loved for its rich flavor and texture and is a popular vegetarian option in Indian cuisine.","148,25.6.8,3.6,3","cumin,coriander,rice,peas,potatoes,onions,mint,pepper","breakfast,lunch,dinner",vegetarian,alone,125 gm
chicken biryani,41,"Chicken biryani is a classic Indian dish that consists of long-grain basmati rice, marinated chicken, and a mix of aromatic spices. The dish typically begins with marinating chicken in a mixture of yogurt, spices, and lemon juice. The marinated chicken is then cooked separately in a pan while the rice is prepared separately. The rice is cooked with a blend of spices such as cinnamon, cardamom, and cumin, and then layered with the cooked chicken. The layers are then infused with saffron, fried onions, and fresh herbs like mint and cilantro. The biryani is then cooked over low heat until the rice is fully cooked, fluffy, and aromatic. Chicken biryani is a beloved dish in Indian cuisine and is often served at weddings, parties, and special occasions.","123,36.4,1.4,27","cumin,coriander,rice,peas,potatoes,onions,mint,pepper,chicken","breakfast,lunch,dinner",non-vegetarian,alone,100 gm
palak paneer,42,"Palak paneer is a popular vegetarian dish from North India made with spinach (palak) and paneer (a type of Indian cottage cheese). The dish starts with blanching spinach and then pureeing it with garlic and spices such as cumin, coriander, and garam masala. The puree is then simmered with fried cubes of paneer in a tomato-based gravy until it thickens to the desired consistency. Palak paneer is often served with rice or Indian bread such as naan or roti. The dish is loved for its creamy texture, subtle blend of spices, and the health benefits of spinach.","366,10,30.5,15.1","spinach,paneer,cumin,coriander,masala","breakfast,lunch,dinner",vegetarian,curry,1 cup
chana tarkari,43,"Chana tarkari is a popular vegetarian dish from Nepal made with chickpeas (chana) and mixed vegetables (tarkari). The dish starts with cooking chickpeas until they are soft and then combining them with a variety of vegetables such as potatoes, tomatoes, onions, and green beans. The vegetables are then simmered in a mixture of spices such as cumin, coriander, turmeric, and chili powder until they are tender and the flavors have blended together. Chana tarkari is often served with rice or flatbread, and it is a beloved comfort food in Nepali cuisine. The dish is known for its hearty and filling nature, as well as its delicious blend of spices and flavors.","245,20,3,10","chickpeas,cumin,coriander,chili,onions,turmeric","breakfast,lunch,dinner",vegetarian,curry,1 cup
chatamari,44,"Chatamari, also known as Nepali pizza, is a popular Nepalese dish made with a thin rice flour crepe as the base. The crepe is topped with a mixture of ground meat, eggs, vegetables, and a blend of spices such as cumin, turmeric, and ginger. The toppings are spread evenly over the crepe, and then the dish is cooked on a griddle until the crepe is crispy and the toppings are cooked through. Chatamari is often served with a variety of chutneys and pickles and is a beloved street food in Nepal. The dish is known for its unique blend of flavors and textures, as well as its versatility as a snack or a meal.","550,65,23,20","riceflour,meat,eggs,vegetables,cumin,turmeric,ginger","breakfast,lunch,dinner",non-vegetarian,alone,1 serving
choila,45,"Choila is a popular spicy appetizer from Nepal made with marinated grilled meat, usually chicken or buffalo. The meat is first grilled or roasted until it is cooked through and then cut into small pieces. It is then mixed with a blend of spices such as cumin, coriander, and chili powder, as well as mustard oil and lemon juice, which give the dish its signature spicy and tangy flavor. Choila is often served with beaten rice or flattened rice, which is soaked in water and then fried until crispy. The dish is a beloved street food in Nepal and is also served in restaurants and at special occasions such as festivals and weddings. It is known for its bold and fiery taste, as well as its simple preparation method.","364,29,24,8","chicken,buffalo,cumin,coriander,chili",lunch,non-vegetarian,alone,1 serving
pumpkin curry,46,"Pumpkin curry is a popular vegetarian dish made with diced pumpkin cooked in a fragrant blend of spices and coconut milk. The dish starts with sautéing onions and spices such as cumin, coriander, turmeric, and chili powder in oil. Cubes of pumpkin are then added to the pan and cooked until tender. Coconut milk is added to the pan, which adds a rich and creamy texture to the dish. The curry is simmered until the flavors have blended together, and it is often served with rice or bread such as naan or roti. Pumpkin curry is a beloved dish in Indian, Thai, and other Southeast Asian cuisines, and it is known for its warm and comforting flavor.","90,10,5,2","pumpkin,spices,chili,oil,cumin","breakfast,lunch,dinner",vegetarian,curry,1 serving
fish curry,47,"Fish curry is a popular dish made with fish cooked in a flavorful and aromatic sauce. The dish starts with sautéing onions, garlic, and ginger in oil, and then adding a blend of spices such as cumin, coriander, turmeric, and chili powder. Pieces of fish are then added to the pan and cooked until they are tender and fully cooked. The curry is often made with coconut milk, which adds a creamy and rich texture to the dish. The dish is usually served with rice or bread, and it is popular in South Asian and Southeast Asian cuisines. Fish curry is known for its complex blend of spices and flavors, which make it a flavorful and comforting dish.","307,6.1,15,35.7","onions,garlic,ginger,oil,cumin,coriander,fish,turmeric,chili","breakfast,lunch,dinner",non-vegetarian,curry,1 serving
